Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
130,16220,51,2,1,0,36,0,0,0,51,2
22,16240,41,0,1,0,5,0,1,0,41,0
75,16274,66,2,1,0,39,0,2,0,66,2
123,16308,34,0,1,0,34,0,0,0,20,0
54,16382,22,0,0,0,22,0,0,0,6,0
166,16396,54,2,1,0,14,0,11,0,54,2
58,16430,62,2,1,0,35,0,3,0,62,2
15,16432,64,2,1,0,29,0,7,0,64,2
130,16437,54,2,1,0,41,0,1,0,54,2
47,16449,142,4,3,0,89,1,9,0,142,4
33,16474,68,2,2,0,68,1,1,0,58,2
109,16561,41,0,1,0,24,0,6,0,41,0
69,16575,158,3,3,0,139,3,1,0,158,3
116,16583,158,3,1,0,50,0,1,0,158,3
128,16592,83,2,1,0,46,0,0,0,83,2
54,16625,59,2,1,0,30,0,4,0,59,2
69,16641,154,3,3,0,100,3,2,0,154,3
75,16660,55,2,1,0,47,0,0,0,55,2
166,15718,72,2,1,0,4,0,23,0,72,2
69,15731,161,3,2,0,71,1,0,0,161,3
123,15744,28,0,1,0,28,0,2,0,28,0
69,15792,118,4,2,0,30,0,2,0,118,4
22,15803,33,0,0,0,10,0,1,0,33,0
33,15825,150,3,3,0,95,1,6,0,150,3
22,15829,154,3,5,0,0,0,13,0,154,3
69,15868,81,2,1,0,24,0,1,0,81,2
34,15930,67,2,1,0,16,0,2,0,67,2
129,15993,62,2,1,0,37,0,1,0,62,2
130,16009,31,0,1,0,31,0,0,0,17,0
54,16060,56,2,1,0,35,0,0,0,56,2
166,16071,77,2,2,0,22,0,15,0,77,2
70,16072,44,0,1,0,15,0,0,0,44,0
22,16095,30,0,1,0,9,0,2,0,30,0
53,16096,30,0,1,0,30,0,1,0,15,0
144,16114,79,2,3,0,18,0,5,0,79,2
166,16125,34,0,1,0,19,0,7,0,34,0
164,16132,51,2,1,0,20,0,5,0,51,2
166,16139,77,2,1,0,34,0,0,0,77,2
166,16176,61,2,1,0,32,0,3,0,61,2
22,16191,32,0,1,0,7,0,2,0,32,0
33,4924,64,2,3,0,64,1,4,0,64,2
130,4932,29,0,0,0,29,0,0,0,25,0
165,4981,51,2,1,0,23,0,0,0,51,2
69,4985,247,5,3,0,162,2,1,0,247,5
166,5044,45,0,1,0,32,0,7,0,45,0
15,5084,36,0,1,0,25,0,3,0,36,0
47,5088,81,2,2,0,81,1,4,0,56,2
65,5108,124,4,2,0,15,0,5,0,124,4
166,5119,72,2,1,0,26,0,2,0,72,2
164,5138,55,2,0,0,32,0,1,0,55,2
166,5181,31,0,0,0,31,0,0,0,25,0
116,5207,157,3,1,0,89,1,0,0,157,3
69,5231,60,2,1,0,31,0,1,0,60,2
116,5287,153,3,1,0,40,0,0,0,153,3
143,5318,22,0,0,0,19,0,0,0,22,0
122,5324,30,0,1,0,17,0,0,0,30,0
85,5352,44,0,1,0,34,0,0,0,44,0
166,7127,47,0,1,0,37,0,4,0,47,0
109,7141,37,0,0,0,32,0,2,0,37,0
166,7158,44,0,1,0,14,0,8,0,44,0
166,7161,58,2,2,0,14,0,24,0,58,2
123,7228,37,0,0,0,33,0,0,0,37,0
34,7261,89,2,3,0,3,0,6,0,89,2
75,7292,52,2,2,0,38,0,7,0,52,2
31,7325,59,2,2,0,16,0,0,0,59,2
164,7339,51,2,1,0,25,0,6,0,51,2
122,7352,66,2,1,0,26,0,1,0,66,2
130,7359,38,0,1,0,38,0,0,0,13,0
166,7690,34,0,1,0,30,0,7,0,34,0
166,7714,88,2,2,0,11,0,20,0,88,2
58,7725,54,2,1,0,31,0,3,0,54,2
58,7744,44,0,1,0,28,0,3,0,44,0
164,7764,51,2,1,0,26,0,6,0,51,2
166,7851,67,2,2,0,15,0,23,0,67,2
22,7855,42,0,1,0,5,0,2,0,42,0
69,7427,189,3,2,0,99,1,1,0,189,3
58,7481,49,0,1,0,25,0,3,0,49,0
33,7566,203,5,5,0,203,4,5,0,151,3
58,7619,35,0,0,0,32,0,0,0,35,0
166,7621,90,2,1,0,25,0,2,0,90,2
69,7633,67,2,1,0,26,0,1,0,67,2
58,7640,36,0,0,0,34,0,1,0,36,0
54,7673,48,0,1,0,28,0,4,0,48,0
166,20117,41,0,1,0,28,0,10,0,41,0
110,20121,19,0,0,0,19,0,1,0,17,0
158,20135,73,2,1,0,43,0,0,0,73,2
171,20137,45,0,0,0,18,0,1,0,45,0
71,20138,170,3,1,0,43,0,0,0,170,3
75,20159,47,0,1,0,47,0,1,0,36,0
69,20188,155,3,3,0,82,1,1,0,155,3
22,20242,46,0,1,0,9,0,1,0,46,0
100,20254,172,3,5,0,2,0,11,0,172,3
100,20263,64,2,1,0,15,0,2,0,64,2
75,20268,44,0,1,0,44,0,1,0,38,0
171,20333,150,3,3,0,150,2,1,0,105,4
33,20402,142,4,4,0,113,3,9,0,142,4
70,20414,21,0,0,0,13,0,0,0,21,0
129,20452,47,0,1,0,42,0,0,0,47,0
158,20466,48,0,1,0,48,0,1,0,29,0
122,20545,54,2,1,0,20,0,0,0,54,2
77,20568,60,2,1,0,44,0,3,0,60,2
100,20582,166,3,4,0,8,0,19,0,166,3
22,8620,27,0,0,0,23,0,1,0,27,0
22,8629,23,0,1,0,7,0,1,0,23,0
22,8654,31,0,1,0,13,0,0,0,31,0
100,8687,88,2,3,0,13,0,9,0,88,2
48,8693,90,2,2,0,22,0,9,0,90,2
165,8695,28,0,1,0,15,0,0,0,28,0
130,8696,51,2,1,0,38,0,0,0,51,2
69,8709,170,3,1,0,38,0,0,0,170,3
22,8742,22,0,0,0,9,0,1,0,22,0
69,8751,168,3,4,0,168,2,1,0,156,3
23,8791,40,0,1,0,40,0,0,0,32,0
123,8835,47,0,1,0,27,0,2,0,47,0
122,8843,59,2,1,0,32,0,0,0,59,2
113,8371,133,4,4,0,23,0,3,0,133,4
53,8385,29,0,1,0,29,0,1,0,7,0
22,8404,73,2,2,0,2,0,8,0,73,2
122,8406,50,0,0,0,24,0,0,0,50,0
22,8582,25,0,0,0,9,0,1,0,25,0
113,8521,90,2,3,0,18,0,2,0,90,2
100,8541,81,2,2,0,26,0,3,0,81,2
22,8588,29,0,0,0,20,0,1,0,29,0
22,8598,21,0,0,0,8,0,1,0,21,0
22,8611,44,0,1,0,16,0,1,0,44,0
145,20642,65,2,1,0,12,0,0,0,65,2
61,20684,66,2,2,0,7,0,6,0,66,2
166,20764,53,2,1,0,28,0,10,0,53,2
166,20822,56,2,0,0,23,0,0,0,56,2
73,20896,57,2,1,0,26,0,3,0,57,2
159,20918,62,2,0,0,35,0,0,0,62,2
171,20976,167,3,4,0,167,2,1,0,107,4
166,20988,49,0,1,0,27,0,4,0,49,0
166,20995,55,2,2,0,25,0,11,0,55,2
130,20996,34,0,1,0,34,0,0,0,32,0
69,21043,80,2,1,0,25,0,0,0,80,2
69,21094,163,3,2,0,92,1,0,0,163,3
166,22274,126,4,4,0,3,0,36,0,126,4
166,22276,63,2,2,0,9,0,22,0,63,2
166,22347,53,2,2,0,27,0,10,0,53,2
166,22374,86,2,2,0,38,0,10,0,86,2
33,22408,47,0,2,0,47,0,0,0,25,0
33,22444,78,2,2,0,25,0,7,0,78,2
33,22454,61,2,2,0,61,1,0,0,54,2
33,22500,112,4,2,0,44,0,4,0,112,4
121,22539,27,0,0,0,6,0,1,0,27,0
33,22545,155,3,3,0,155,2,2,0,151,3
43,22549,121,4,4,0,24,0,0,0,121,4
33,22551,160,3,3,0,138,3,5,0,160,3
33,22553,144,4,4,0,109,3,9,0,144,4
33,22558,69,2,2,0,48,0,0,0,69,2
166,22559,47,0,1,0,34,0,3,0,47,0
58,22096,69,2,1,0,34,0,4,0,69,2
166,22129,84,2,3,0,9,0,24,0,84,2
15,22199,64,2,1,0,32,0,6,0,64,2
29,22222,20,0,1,0,20,0,1,0,10,0
73,22238,38,0,1,0,30,0,3,0,38,0
152,22252,59,2,1,0,27,0,3,0,59,2
58,22255,67,2,1,0,30,0,5,0,67,2
166,22265,75,2,2,0,13,0,16,0,75,2
166,6424,60,2,2,0,18,0,21,0,60,2
22,6426,22,0,1,0,13,0,0,0,22,0
44,6464,36,0,1,0,36,0,0,0,25,0
166,6492,41,0,1,0,30,0,8,0,41,0
58,6534,44,0,1,0,28,0,2,0,44,0
77,6548,29,0,1,0,26,0,1,0,29,0
33,6564,168,3,3,0,168,2,5,0,99,2
164,6597,25,0,1,0,25,0,3,0,23,0
58,6641,41,0,1,0,26,0,4,0,41,0
58,6662,36,0,0,0,33,0,1,0,36,0
28,6697,59,2,2,0,12,0,0,0,59,2
143,6699,98,2,0,0,17,0,0,0,98,2
109,6755,35,0,0,0,33,0,2,0,35,0
8,6805,29,0,0,0,29,0,0,0,13,0
58,6813,51,2,1,0,29,0,3,0,51,2
34,6877,103,4,4,0,9,0,6,0,103,4
130,6936,35,0,1,0,35,0,0,0,17,0
164,6985,35,0,1,0,30,0,4,0,35,0
124,7014,27,0,0,0,27,0,2,0,21,0
130,7055,48,0,1,0,39,0,1,0,48,0
69,7087,307,1,1,0,45,0,0,0,307,1
42,7119,54,2,1,0,25,0,0,0,54,2
166,7964,61,2,2,0,26,0,16,0,61,2
151,7968,36,0,1,0,36,0,1,0,30,0
166,7997,42,0,1,0,42,0,2,0,37,0
58,8005,42,0,0,0,32,0,1,0,42,0
33,8107,151,3,4,0,45,0,4,0,151,3
52,8207,102,4,1,0,23,0,0,0,102,4
113,8270,115,4,3,0,24,0,2,0,115,4
75,8299,64,2,1,0,53,1,1,0,64,2
58,8313,40,0,1,0,30,0,2,0,40,0
77,8319,45,0,1,0,45,0,0,0,38,0
155,19633,65,2,1,0,34,0,0,0,65,2
70,19639,17,0,1,0,13,0,0,0,17,0
130,19701,52,2,1,0,39,0,1,0,52,2
77,19710,69,2,1,0,69,1,1,0,60,2
123,19741,44,0,1,0,33,0,1,0,44,0
67,19768,50,0,1,0,41,0,1,0,50,0
67,19773,72,2,1,0,42,0,1,0,72,2
158,19802,49,0,1,0,49,0,1,0,32,0
69,19816,127,4,2,0,65,1,1,0,127,4
71,19821,125,4,2,0,125,3,1,0,82,2
122,19827,41,0,1,0,25,0,1,0,41,0
77,19853,52,2,1,0,34,0,3,0,52,2
77,19858,47,0,1,0,47,0,1,0,44,0
77,19860,36,0,1,0,36,0,3,0,34,0
69,19885,155,3,1,0,39,0,0,0,155,3
122,19887,37,0,1,0,19,0,0,0,37,0
130,19903,46,0,1,0,27,0,1,0,46,0
79,19908,69,2,1,0,42,0,0,0,69,2
166,19953,64,2,1,0,18,0,12,0,64,2
74,19960,92,2,2,0,52,1,8,0,92,2
77,19968,58,2,1,0,43,0,3,0,58,2
129,19975,41,0,1,0,41,0,0,0,38,0
122,20009,35,0,1,0,20,0,0,0,35,0
70,20075,88,2,2,0,53,1,1,0,88,2
159,20108,45,0,0,0,45,0,0,0,43,0
69,22591,102,4,1,0,38,0,0,0,102,4
164,22637,58,2,1,0,24,0,7,0,58,2
33,22709,143,4,2,0,35,0,5,0,143,4
33,22730,187,3,2,0,36,0,8,0,187,3
123,22805,35,0,1,0,35,0,0,0,17,0
123,22807,48,0,1,0,35,0,1,0,48,0
15,22839,58,2,1,0,29,0,6,0,58,2
15,22874,65,2,1,0,27,0,8,0,65,2
33,22901,73,2,2,0,66,1,0,0,73,2
33,22915,160,3,4,0,36,0,13,0,160,3
33,22921,98,2,3,0,33,0,9,0,98,2
33,22932,156,3,4,0,45,0,10,0,156,3
100,22950,75,2,2,0,9,0,6,0,75,2
100,22953,163,3,4,0,8,0,18,0,163,3
130,22976,35,0,1,0,35,0,0,0,21,0
109,4,30,0,0,0,30,0,2,0,29,0
146,22,47,0,1,0,21,0,2,0,47,0
75,28,69,2,1,0,37,0,4,0,69,2
42,43,105,4,4,0,15,0,4,0,105,4
100,113,189,3,2,0,9,0,15,0,189,3
166,117,64,2,2,0,37,0,8,0,64,2
166,131,54,2,1,0,32,0,5,0,54,2
69,171,198,3,4,0,198,2,3,0,188,3
113,179,139,4,7,0,13,0,5,0,139,4
54,254,55,2,1,0,26,0,3,0,55,2
106,316,145,4,1,0,46,0,0,0,145,4
166,317,80,2,1,0,18,0,10,0,80,2
130,320,50,0,1,0,36,0,1,0,50,0
15,454,35,0,1,0,25,0,3,0,35,0
29,476,55,2,1,0,27,0,0,0,55,2
22,486,13,0,1,0,12,0,1,0,13,0
146,490,48,0,1,0,23,0,3,0,48,0
119,499,28,0,0,0,28,0,0,0,13,0
58,540,50,0,1,0,29,0,3,0,50,0
92,608,26,0,0,0,26,0,0,0,20,0
33,779,107,4,2,0,107,3,5,0,86,2
92,791,22,0,0,0,22,0,0,0,20,0
166,798,76,2,3,0,7,0,25,0,76,2
90,815,47,0,1,0,32,0,0,0,47,0
59,826,104,4,2,0,14,0,1,0,104,4
100,832,60,2,1,0,16,0,5,0,60,2
22,878,32,0,1,0,3,0,2,0,32,0
130,970,28,0,1,0,28,0,1,0,15,0
54,985,34,0,0,0,28,0,2,0,34,0
130,1011,28,0,1,0,28,0,1,0,19,0
10,1024,48,0,1,0,35,0,0,0,48,0
6,1081,39,0,1,0,29,0,1,0,39,0
52,1096,97,2,1,0,14,0,0,0,97,2
71,1113,75,2,1,0,37,0,0,0,75,2
69,1132,194,3,1,0,44,0,0,0,194,3
61,1140,104,4,3,0,5,0,10,0,104,4
75,1168,57,2,1,0,40,0,3,0,57,2
162,1222,41,0,1,0,41,0,3,0,27,0
124,1236,37,0,1,0,16,0,7,0,37,0
94,1265,59,2,1,0,34,0,0,0,59,2
164,1277,29,0,1,0,29,0,2,0,20,0
109,1304,34,0,0,0,34,0,1,0,26,0
136,1335,70,2,1,0,41,0,0,0,70,2
58,1363,32,0,0,0,30,0,1,0,32,0
116,1476,500,1,1,0,38,0,1,0,466,1
144,1562,380,1,31,0,1,0,26,0,380,1
144,1573,222,5,12,0,5,0,14,0,222,5
155,1617,52,2,0,0,28,0,0,0,52,2
94,1631,76,2,1,0,39,0,0,0,76,2
122,1674,27,0,0,0,23,0,0,0,27,0
140,1694,59,2,1,0,26,0,2,0,59,2
58,1775,38,0,0,0,28,0,2,0,38,0
166,1840,56,2,1,0,23,0,6,0,56,2
56,1871,127,4,1,0,18,0,0,0,127,4
116,1884,117,4,1,0,117,3,1,0,78,2
94,1914,92,2,2,0,57,1,1,0,92,2
69,1954,182,3,5,0,170,2,5,0,182,3
75,3679,124,4,2,0,32,0,7,0,124,4
75,3740,68,2,2,0,68,1,6,0,57,2
122,3742,68,2,1,0,26,0,0,0,68,2
46,3768,39,0,1,0,4,0,2,0,39,0
20,3773,50,0,1,0,33,0,0,0,50,0
75,3824,103,4,1,0,33,0,6,0,103,4
75,3839,38,0,1,0,36,0,5,0,38,0
41,3843,61,2,1,0,38,0,1,0,61,2
5,3855,17,0,0,0,17,0,1,0,17,0
121,3858,21,0,0,0,4,0,0,0,21,0
54,3892,32,0,1,0,32,0,1,0,20,0
33,3952,151,3,3,0,119,3,1,0,151,3
171,4006,57,2,1,0,32,0,0,0,57,2
130,4061,38,0,1,0,38,0,0,0,35,0
130,4064,49,0,1,0,40,0,0,0,49,0
69,4095,171,3,1,0,42,0,0,0,171,3
69,4161,91,2,1,0,28,0,1,0,91,2
100,4172,72,2,2,0,4,0,5,0,72,2
69,4204,153,3,2,0,22,0,6,0,153,3
123,4246,59,2,1,0,25,0,2,0,59,2
69,4274,157,3,0,0,31,0,1,0,157,3
166,4347,73,2,1,0,32,0,2,0,73,2
22,4402,71,2,2,0,3,0,6,0,71,2
22,4420,17,0,0,0,17,0,0,0,11,0
22,4445,46,0,1,0,2,0,0,0,46,0
164,4446,35,0,1,0,12,0,9,0,35,0
73,4452,24,0,0,0,24,0,1,0,16,0
22,4484,45,0,1,0,14,0,2,0,45,0
129,4535,61,2,1,0,40,0,0,0,61,2
45,4540,65,2,1,0,12,0,6,0,65,2
75,4548,112,4,1,0,34,0,4,0,112,4
22,4572,19,0,0,0,19,0,0,0,11,0
164,4584,31,0,0,0,31,0,2,0,22,0
166,4601,152,3,4,0,4,0,19,0,152,3
166,4609,31,0,1,0,21,0,1,0,31,0
22,4646,37,0,1,0,12,0,1,0,37,0
5,4670,13,0,1,0,12,0,0,0,13,0
100,4695,41,0,1,0,8,0,3,0,41,0
75,4757,103,4,2,0,28,0,9,0,103,4
10,4816,52,2,1,0,35,0,0,0,52,2
146,4819,30,0,0,0,30,0,2,0,13,0
69,4830,73,2,0,0,25,0,0,0,73,2
22,4855,42,0,1,0,2,0,4,0,42,0
58,4867,35,0,0,0,35,0,0,0,30,0
166,4873,46,0,1,0,25,0,5,0,46,0
123,4877,93,2,1,0,27,0,4,0,93,2
62,4917,63,2,2,0,13,0,0,0,63,2
116,4918,160,3,0,0,39,0,0,0,160,3
54,1965,39,0,1,0,26,0,1,0,39,0
166,1986,56,2,1,0,18,0,6,0,56,2
59,2003,105,4,2,0,13,0,2,0,105,4
33,2016,93,2,2,0,90,1,1,0,93,2
22,2032,45,0,0,0,22,0,0,0,45,0
19,2196,54,2,1,0,8,0,1,0,54,2
58,2202,36,0,0,0,29,0,2,0,36,0
166,2211,50,0,1,0,35,0,5,0,50,0
69,2239,153,3,1,0,34,0,0,0,153,3
166,2248,48,0,1,0,36,0,5,0,48,0
130,2263,24,0,0,0,24,0,0,0,24,0
12,2281,132,4,3,0,44,0,4,0,132,4
116,2285,179,3,3,0,179,2,2,0,166,3
69,2315,124,4,1,0,36,0,1,0,124,4
69,2320,202,5,0,0,34,0,0,0,202,5
69,2323,151,3,1,0,26,0,1,0,151,3
70,2441,92,2,2,0,45,0,0,0,92,2
22,1491,39,0,1,0,5,0,0,0,39,0
130,1531,48,0,1,0,39,0,1,0,48,0
149,1723,52,2,2,0,17,0,0,0,52,2
34,1739,104,4,1,0,16,0,2,0,104,4
122,1741,51,2,1,0,27,0,1,0,51,2
71,1763,91,2,1,0,49,0,0,0,91,2
69,1781,167,3,1,0,32,0,0,0,167,3
155,14238,38,0,0,0,20,0,0,0,38,0
155,14240,57,2,0,0,25,0,0,0,57,2
109,14252,41,0,1,0,27,0,5,0,41,0
166,14274,78,2,1,0,11,0,12,0,78,2
166,14336,47,0,1,0,46,0,2,0,47,0
164,14350,29,0,0,0,29,0,3,0,18,0
136,14408,60,2,1,0,34,0,1,0,60,2
109,14478,37,0,1,0,32,0,3,0,37,0
32,14483,61,2,2,0,2,0,9,0,61,2
118,14489,67,2,2,0,20,0,5,0,67,2
100,14490,46,0,1,0,17,0,2,0,46,0
166,14555,79,2,2,0,13,0,27,0,79,2
166,14558,53,2,1,0,24,0,9,0,53,2
59,14594,81,2,1,0,18,0,0,0,81,2
77,14620,39,0,1,0,38,0,2,0,39,0
58,14639,34,0,1,0,34,0,2,0,27,0
128,14662,42,0,1,0,41,0,0,0,42,0
77,14680,41,0,2,0,36,0,5,0,41,0
123,14717,47,0,1,0,36,0,0,0,47,0
58,14725,32,0,1,0,27,0,4,0,32,0
22,14731,25,0,0,0,6,0,1,0,25,0
77,14761,35,0,1,0,35,0,0,0,15,0
109,14796,36,0,1,0,26,0,3,0,36,0
166,14838,73,2,2,0,26,0,7,0,73,2
166,14848,52,2,1,0,22,0,11,0,52,2
123,14933,35,0,1,0,32,0,1,0,35,0
61,14934,94,2,3,0,9,0,11,0,94,2
36,14976,71,2,3,0,18,0,0,0,71,2
22,14988,61,2,2,0,3,0,5,0,61,2
113,15021,80,2,2,0,22,0,1,0,80,2
83,15029,101,4,1,0,60,1,0,0,101,4
75,15049,48,0,1,0,45,0,0,0,48,0
69,15067,156,3,1,0,33,0,0,0,156,3
99,15090,30,0,0,0,28,0,0,0,30,0
54,15096,27,0,0,0,27,0,0,0,10,0
69,15123,57,2,0,0,30,0,0,0,57,2
122,15190,55,2,1,0,20,0,0,0,55,2
70,15202,54,2,1,0,35,0,0,0,54,2
33,15221,69,2,1,0,45,0,4,0,69,2
33,15253,76,2,3,0,32,0,2,0,76,2
33,15261,74,2,3,0,29,0,2,0,74,2
22,15293,36,0,1,0,2,0,0,0,36,0
22,15295,51,2,1,0,7,0,4,0,51,2
121,15308,41,0,1,0,18,0,1,0,41,0
166,15345,56,2,1,0,44,0,4,0,56,2
166,15376,58,2,1,0,43,0,5,0,58,2
166,15414,45,0,1,0,32,0,7,0,45,0
79,15466,50,0,1,0,41,0,0,0,50,0
69,15480,68,2,0,0,24,0,0,0,68,2
166,15536,46,0,1,0,46,0,2,0,31,0
60,15583,67,2,1,0,44,0,2,0,67,2
100,15606,77,2,3,0,7,0,8,0,77,2
136,15668,63,2,1,0,33,0,1,0,63,2
155,15695,42,0,0,0,19,0,0,0,42,0
155,15698,59,2,1,0,27,0,0,0,59,2
155,15705,35,0,0,0,17,0,0,0,35,0
69,15710,444,1,2,0,111,3,1,0,391,1
47,17202,60,2,2,0,60,1,3,0,55,2
75,17212,48,0,1,0,48,0,0,0,12,0
130,17218,32,0,1,0,32,0,0,0,26,0
164,17249,56,2,0,0,32,0,1,0,56,2
58,17274,32,0,1,0,32,0,1,0,30,0
41,17286,29,0,0,0,29,0,2,0,29,0
93,17290,28,0,0,0,19,0,0,0,28,0
152,17312,34,0,1,0,25,0,2,0,34,0
22,17317,18,0,0,0,8,0,0,0,18,0
136,17344,68,2,1,0,32,0,1,0,68,2
39,17409,89,2,1,0,22,0,1,0,89,2
69,17416,208,5,3,0,152,2,1,0,208,5
166,17483,58,2,2,0,29,0,12,0,58,2
166,17498,53,2,1,0,40,0,6,0,53,2
29,17511,35,0,1,0,35,0,3,0,34,0
54,17444,37,0,1,0,25,0,2,0,37,0
15,17492,35,0,1,0,32,0,3,0,35,0
54,17506,39,0,1,0,25,0,2,0,39,0
134,17529,122,4,1,0,49,0,0,0,122,4
77,17543,40,0,1,0,40,0,2,0,34,0
164,17571,58,2,0,0,32,0,1,0,58,2
69,17590,303,1,1,0,48,0,0,0,260,5
22,17605,30,0,0,0,16,0,1,0,30,0
69,17634,193,3,0,0,38,0,0,0,193,3
159,17651,36,0,1,0,36,0,0,0,30,0
70,16208,49,0,1,0,30,0,0,0,49,0
22,16245,32,0,1,0,14,0,1,0,32,0
166,16254,28,0,1,0,22,0,4,0,28,0
29,16269,21,0,1,0,21,0,1,0,13,0
70,16273,63,2,2,0,40,0,0,0,63,2
121,16318,30,0,1,0,1,0,0,0,30,0
146,16359,32,0,1,0,30,0,1,0,32,0
100,16403,48,0,1,0,5,0,4,0,48,0
74,16479,80,2,1,0,62,1,4,0,80,2
32,16536,182,3,14,0,1,0,23,0,182,3
69,16602,356,1,1,0,60,1,0,0,284,5
166,16615,62,2,1,0,44,0,5,0,62,2
12,16650,191,3,2,0,133,3,2,0,191,3
69,16652,150,3,1,0,41,0,0,0,150,3
155,15727,53,2,0,0,27,0,0,0,53,2
69,15733,226,5,1,0,48,0,1,0,226,5
22,15753,16,0,0,0,12,0,0,0,16,0
53,15767,34,0,1,0,34,0,1,0,17,0
58,15879,30,0,1,0,27,0,2,0,30,0
166,15963,55,2,2,0,26,0,12,0,55,2
17,15971,73,2,1,0,20,0,1,0,73,2
75,16013,46,0,1,0,46,0,0,0,14,0
138,16121,48,0,1,0,16,0,0,0,48,0
65,16113,103,4,1,0,25,0,1,0,103,4
124,16160,46,0,0,0,30,0,2,0,46,0
166,16189,43,0,1,0,43,0,2,0,39,0
166,16709,52,2,1,0,44,0,4,0,52,2
69,16722,500,1,1,0,40,0,0,0,464,1
155,16729,36,0,0,0,16,0,0,0,36,0
58,16756,39,0,0,0,39,0,0,0,23,0
130,16909,58,2,1,0,25,0,9,0,58,2
22,16944,24,0,0,0,7,0,1,0,24,0
22,16946,52,2,1,0,4,0,3,0,52,2
166,16959,56,2,1,0,21,0,6,0,56,2
166,16963,76,2,2,0,15,0,17,0,76,2
22,17004,95,2,3,0,23,0,8,0,95,2
121,17038,25,0,1,0,3,0,0,0,25,0
54,17039,40,0,1,0,30,0,1,0,40,0
86,17082,78,2,1,0,46,0,1,0,78,2
75,17099,47,0,1,0,47,0,2,0,27,0
54,17121,42,0,1,0,31,0,1,0,42,0
22,17141,39,0,1,0,14,0,2,0,39,0
54,17150,37,0,1,0,30,0,1,0,37,0
122,17152,50,0,1,0,23,0,0,0,50,0
69,4930,190,3,2,0,98,1,1,0,190,3
166,4938,62,2,1,0,18,0,13,0,62,2
69,4949,152,3,0,0,29,0,0,0,152,3
155,4953,56,2,1,0,31,0,0,0,56,2
33,4956,145,4,2,0,145,3,3,0,82,2
69,4967,292,5,3,0,136,3,3,0,292,5
165,4987,20,0,0,0,14,0,0,0,20,0
69,5015,153,3,0,0,29,0,0,0,153,3
22,5110,25,0,0,0,9,0,1,0,25,0
167,5112,38,0,1,0,19,0,2,0,38,0
69,5114,158,3,0,0,25,0,0,0,158,3
130,5176,34,0,1,0,34,0,0,0,10,0
159,5193,46,0,1,0,29,0,0,0,46,0
69,5201,173,3,3,0,159,2,1,0,173,3
159,5305,44,0,1,0,33,0,0,0,44,0
162,5347,39,0,1,0,39,0,0,0,12,0
17,5369,101,4,3,0,18,0,2,0,101,4
130,5428,37,0,1,0,37,0,0,0,30,0
166,5546,60,2,1,0,22,0,3,0,60,2
165,5562,23,0,0,0,17,0,0,0,23,0
166,5605,93,2,1,0,24,0,5,0,93,2
166,5669,28,0,1,0,28,0,8,0,25,0
100,5672,91,2,2,0,22,0,3,0,91,2
166,5768,39,0,1,0,22,0,1,0,39,0
100,5796,66,2,1,0,10,0,5,0,66,2
19,5810,6,0,0,0,5,0,0,0,6,0
166,5860,44,0,1,0,27,0,10,0,44,0
116,5890,153,3,3,0,153,2,1,0,152,3
77,5902,42,0,1,0,42,0,0,0,12,0
75,6891,62,2,1,0,32,0,4,0,62,2
164,6921,35,0,1,0,22,0,6,0,35,0
164,6930,27,0,1,0,25,0,3,0,27,0
107,6947,19,0,0,0,18,0,0,0,19,0
69,6949,198,3,3,0,91,1,3,0,198,3
69,6950,175,3,1,0,51,1,1,0,175,3
146,6957,33,0,1,0,33,0,1,0,28,0
69,6966,194,3,1,0,46,0,0,0,194,3
69,6967,500,1,1,0,47,0,1,0,500,1
22,6975,37,0,1,0,3,0,3,0,37,0
109,6976,30,0,0,0,30,0,2,0,27,0
166,6990,61,2,1,0,10,0,16,0,61,2
123,6994,32,0,1,0,24,0,3,0,32,0
71,7008,84,2,1,0,45,0,0,0,84,2
130,7049,33,0,1,0,33,0,1,0,21,0
77,7075,44,0,1,0,44,0,0,0,15,0
1,7109,68,2,1,0,39,0,1,0,68,2
166,7129,57,2,2,0,21,0,11,0,57,2
166,7134,29,0,1,0,29,0,2,0,27,0
100,7298,35,0,1,0,22,0,1,0,35,0
58,7314,37,0,1,0,21,0,4,0,37,0
28,7333,76,2,3,0,8,0,1,0,76,2
33,7341,90,2,3,0,46,0,3,0,90,2
54,7347,34,0,1,0,26,0,9,0,34,0
166,6400,65,2,1,0,30,0,1,0,65,2
54,6412,29,0,0,0,28,0,2,0,29,0
166,6420,37,0,1,0,27,0,8,0,37,0
166,6419,72,2,1,0,29,0,3,0,72,2
22,6436,169,3,7,0,0,0,21,0,169,3
58,6470,36,0,1,0,25,0,3,0,36,0
166,6501,46,0,1,0,37,0,2,0,46,0
77,6512,71,2,1,0,71,1,3,0,49,0
58,6580,29,0,0,0,29,0,2,0,26,0
74,6626,77,2,1,0,43,0,6,0,77,2
69,6720,48,0,0,0,24,0,0,0,48,0
146,6725,57,2,1,0,19,0,10,0,57,2
75,6762,53,2,1,0,38,0,2,0,53,2
109,6789,30,0,0,0,25,0,3,0,30,0
58,6794,31,0,0,0,30,0,1,0,31,0
64,6799,27,0,0,0,19,0,0,0,27,0
58,6803,30,0,0,0,28,0,2,0,30,0
